일시,지점,평균기온,최고기온,최저기온(°C),평균상대습도,최소상대습도
2018-03-01,108,8.1,22.1,-6.7,59,13
2018-04-01,108,13,26.3,0.1,55,8
2018-05-01,108,18.2,29.6,6.9,63,22
2018-06-01,108,23.1,32.9,16.3,63,19
2018-07-01,108,27.8,38.3,17.7,68,29
2018-08-01,108,28.8,39.6,20.2,65,25
2018-09-01,108,21.5,30.9,10.8,61,23
2018-10-01,108,13.1,25.6,0.7,59,16
2018-11-01,108,7.8,19.4,-3.1,58,12
2018-12-01,108,-0.6,13.5,-14.4,46,16
2019-01-01,108,-0.9,8.5,-10.1,46,11
2019-02-01,108,1,14.5,-10.2,47,15
2019-03-01,108,7.1,17.6,-1.7,51,10
2019-04-01,108,12.1,28.2,0.3,51,10
2019-05-01,108,19.4,33.4,8.4,47,12
2019-06-01,108,22.5,32.8,14.1,61,22
2019-07-01,108,25.9,36.1,19.3,69,24
2019-08-01,108,27.2,36.8,18.5,69,28
2019-09-01,108,22.6,30.5,13.6,65,24
2019-10-01,108,16.4,28.2,4.7,62,23
2019-11-01,108,7.6,22.1,-4.6,56,14
2019-12-01,108,1.4,12.9,-10.9,58,17
2020-01-01,108,1.6,11.9,-6.5,56,17
2020-02-01,108,2.5,15.6,-11.8,58,14
2020-03-01,108,7.7,20.6,-2.8,46,11
2020-04-01,108,11.1,23.8,1.9,50,10
2020-05-01,108,18,30,9.2,67,11
2020-06-01,108,23.9,35.4,14.8,68,26
2020-07-01,108,24.1,32.9,17.2,77,34
2020-08-01,108,26.5,34.5,21.5,85,49
2020-09-01,108,21.4,29.5,13.6,71,27
2020-10-01,108,14.3,23.6,3.2,61,20
2020-11-01,108,8,20,-3.6,64,18
2020-12-01,108,-0.3,11.4,-12.9,58,24
2021-01-01,108,-2.4,13.9,-18.6,58,19
2021-02-01,108,2.7,17.4,-10.6,56,18
2021-03-01,108,9,22.9,-1.2,63,19
2021-04-01,108,14.2,28.2,3.1,54,18
2021-05-01,108,17.1,30.8,7.3,68,25
2021-06-01,108,22.8,31.6,13.3,73,36
2021-07-01,108,28.1,36.5,19.6,71,37
2021-08-01,108,25.9,33.7,18.1,74,39
2021-09-01,108,22.6,30.3,16,71,38
2021-10-01,108,15.6,28.8,1.3,70,25
2021-11-01,108,8.2,21.3,-3.7,68,27
2021-12-01,108,0.6,13.3,-15.5,62,26
2022-01-01,108,-2.2,8.4,-11.3,55,21
2022-02-01,108,-1.1,11.5,-10.7,55,21
2022-03-01,108,7.7,19.5,-3,62,15
2022-04-01,108,14.8,28.7,3.5,55,17
2022-05-01,108,19.1,30.7,7.9,55,16
2022-06-01,108,23.3,32.7,14.9,73,18
2022-07-01,108,27.3,36.1,20.8,77,46
2022-08-01,108,25.7,32.9,16.1,80,39
2022-09-01,108,22.4,32.5,12.3,68,29
2022-10-01,108,14.6,27.6,4.4,69,25
2022-11-01,108,10,22.1,-8.1,65,23
2022-12-01,108,-2.8,10.2,-13.7,59,21
